ExptLabel,Sample,Well,GFP,RFP
Expt01/clone01,TMH4-6/v1/0.5mM/sort04-3x,A1,0.840388552,0.737247914
Expt01/clone01,TMH4-6/v1/0.5mM/sort04-3x,A2,1.104535064,1.385195084
Expt01/clone01,TMH4-6/v1/0.5mM/sort04-3x,A3,0.795446151,0.751216788
Expt01/clone01,TMH4-6/v1/0.5mM/sort04-3x,A4,0.612592417,0.839892984
Expt01/clone01,TMH4-6/v1/0.5mM/sort04-3x,A5,0.375763787,1.010830186
Expt01/clone01,TMH4-6/v1/0.5mM/sort04-3x,A6,0.399116217,0.985168933
Expt01/clone01,TMH4-6/v1/0.5mM/sort04-3x,A7,0.42467164,0.75090634
Expt01/clone01,TMH4-6/v1/0.5mM/sort04-3x,A8,0.961336358,1.265373422
Expt01/clone01,TMH4-6/v1/0.5mM/sort04-3x,A9,0.80381778,0.825820689
Expt01/clone01,TMH4-6/v1/0.5mM/sort04-3x,A10,0.427976226,1.304072266
Expt01/clone01,TMH4-6/v1/0.5mM/sort04-3x,A11,0.734641815,0.761460593
Expt01/clone01,TMH4-6/v1/0.5mM/sort04-3x,A12,0.274202864,1.555304424
Expt01/clone01,TMH4-6/v1/0.5mM/sort04-3x-sm,B1,0.416740673,1.000689864
Expt01/clone01,TMH4-6/v1/0.5mM/sort04-3x-sm,B2,0.503981693,0.161110995
Expt01/clone01,TMH4-6/v1/0.5mM/sort04-3x-sm,B3,0.465868794,1.156519943
Expt01/clone01,TMH4-6/v1/0.5mM/sort04-3x-sm,B4,0.337761053,0.902701024
Expt01/clone01,TMH4-6/v1/0.5mM/sort04-3x-sm,B5,0.251291065,1.312143179
Expt01/clone01,TMH4-6/v1/0.5mM/sort04-3x-sm,B6,0.428416824,0.94150335
Expt01/clone01,TMH4-6/v1/0.5mM/sort04-3x-sm,B7,0.53724788,0.948642981
Expt01/clone01,TMH4-6/v1/0.5mM/sort04-3x-sm,B8,0.564786092,1.246748379
Expt01/clone01,TMH4-6/v1/0.5mM/sort04-3x-sm,B9,0.471596767,0.750492471
Expt01/clone01,TMH4-6/v1/0.5mM/sort04-3x-sm,B10,0.452320019,0.723486005
Expt01/clone01,TMH4-6/v1/0.5mM/sort04-3x-sm,B11,0.44670221,0.971717472
Expt01/clone01,TMH4-6/v1/0.5mM/sort04-3x-sm,B12,0.308570547,0.739317384
Expt01/clone01,TMH4-6/v1/0.5mM/sort04-10x,C1,0.622285906,0.170837447
Expt01/clone01,TMH4-6/v1/0.5mM/sort04-10x,C2,0.423349844,1.563582303
Expt01/clone01,TMH4-6/v1/0.5mM/sort04-10x,C3,0.368053087,1.120304439
Expt01/clone01,TMH4-6/v1/0.5mM/sort04-10x,C4,0.812850339,1.659191225
Expt01/clone01,TMH4-6/v1/0.5mM/sort04-10x,C5,0.472147532,0.381508212
Expt01/clone01,TMH4-6/v1/0.5mM/sort04-10x,C6,0.645197674,1.303658457
Expt01/clone01,TMH4-6/v1/0.5mM/sort04-10x,C7,0.482391785,0.898665628
Expt01/clone01,TMH4-6/v1/0.5mM/sort04-10x,C8,0.471376436,2.255298294
Expt01/clone01,TMH4-6/v1/0.5mM/sort04-10x,C9,1.594054387,1.20039243
Expt01/clone01,TMH4-6/v1/0.5mM/sort04-10x,C10,0.500897439,0.189876452
Expt01/clone01,TMH4-6/v1/0.5mM/sort04-10x,C11,0.467631252,0.998310007
Expt01/clone01,TMH4-6/v1/0.5mM/sort04-10x,C12,0.619421919,0.467908064
Expt01/clone01,TMH4-6/v1/0.5mM/sort04-10x-sm,D1,0.55861752,0.604181817
Expt01/clone01,TMH4-6/v1/0.5mM/sort04-10x-sm,D2,0.599594406,0.931156063
Expt01/clone01,TMH4-6/v1/0.5mM/sort04-10x-sm,D3,0.629555944,0.511263199
Expt01/clone01,TMH4-6/v1/0.5mM/sort04-10x-sm,D4,0.534604224,2.097916098
Expt01/clone01,TMH4-6/v1/0.5mM/sort04-10x-sm,D5,0.427535627,1.337390501
Expt01/clone01,TMH4-6/v1/0.5mM/sort04-10x-sm,D6,0.486687733,1.353946258
Expt01/clone01,TMH4-6/v1/0.5mM/sort04-10x-sm,D7,0.477545009,0.133794158
Expt01/clone01,TMH4-6/v1/0.5mM/sort04-10x-sm,D8,0.47842627,0.796641332
Expt01/clone01,TMH4-6/v1/0.5mM/sort04-10x-sm,D9,0.648061661,1.399060414
Expt01/clone01,TMH4-6/v1/0.5mM/sort04-10x-sm,D10,0.681327784,1.195839683
Expt01/clone01,TMH4-6/v1/0.5mM/sort04-10x-sm,D11,0.583952676,1.330768344
Expt01/clone01,TMH4-6/v1/0.5mM/sort04-10x-sm,D12,0.598052279,2.030244802
Expt01/clone01,STE6,E1,1.037672258,0.351501085
Expt01/clone01,STE6,E2,0.975215566,0.347569111
Expt01/clone01,STE6,E3,0.987112175,0.33328985
Expt01/clone01,E05973,E4,0.154576855,1.006484281
Expt01/clone01,E05973,E5,0.153475326,0.974200811
Expt01/clone01,E05973,E6,0.146425556,1.019314907
Expt02/clone02,STE6,A1,0.965948693,0.354272378
